2225,Aesop Rock,Spirit World Field Guide,7,https://youtu.be/Y_ypI1026i4
2224,William Basinski,Lamentations,7,https://youtu.be/f0R4T8xaS04
2221,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,8,https://www.youtube.com/watch?v=u7IJtooEuL0
2215,Jean Dawson,PIXEL BATH,7,https://youtu.be/ScTQqlZL3EQ
2214,Gorillaz,"Song Machine, Season One: Strange Timez",8,https://www.youtube.com/watch?v=G7s5snuMMJA
2213,Adrianne Lenker,songs,8,https://www.youtube.com/watch?v=Czumt_lyu10
2212,clipping.,Visions of Bodies Being Burned,9,https://www.youtube.com/watch?v=0XxT334Qbuc
2211,Dorian Electra,My Agenda,8,https://youtu.be/aNEPvtcuFj0
2209,Benny The Butcher,Burden of Proof,7,https://youtu.be/fFWKlgG1MGw
2207,Black Thought,"Streams of Thought, Vol. 3: Cane And Abel",7,https://youtu.be/qe-l_W8hFf4
2202,21 Savage & Metro Boomin,Savage Mode II,7,https://www.youtube.com/watch?v=sg00wSP-iVQ
2199,Anna von Hausswolff,All Thoughts Fly,7,https://youtu.be/yTOaO2T2lPA
2194,Idles,Ultra Mono,8,https://youtu.be/6dGoe-1csKY
2193,Undeath,Lesions of a Different Kind,8,https://youtu.be/gyQWxeaqJ3M
2192,Clown Core,Van,7,https://youtu.be/R68JzG7Vb7w
2191,Fleet Foxes,Shore,7,https://www.youtube.com/watch?v=5BQYIgXtxUM
2187,Conway the Machine,From King To A GOD,8,https://youtu.be/qjy2K0mTmb4
2186,The Flaming Lips,American Head,8,https://www.youtube.com/watch?v=pDfAUTPkgWo
2182,Big Sean,Detroit 2,7,https://youtu.be/exQ6iwxmsIo
2180,Lobsterfight,"pink, black, and orange in the corners.",7,https://youtu.be/yC62_qaVX8E
2178,Sevdaliza,Shabrang,8,https://www.youtube.com/watch?v=cCfGhfKa7cI
2174,Nas,King's Disease,7,https://youtu.be/bC57B3zsv3k
2173,Meridian Brothers,Cumbia Siglo XXI,8,https://youtu.be/s15wXPP1UNw
2172,Matmos,The Consuming Flame: Open Exercises in Group Form,8,https://youtu.be/n-g7m_ROyds
2169,Primitive Man,Immersion,7,https://youtu.be/nmjp97NtrRI
2166,Aminé,Limbo,7,https://www.youtube.com/watch?v=8M42PpvvHSY
2165,The Microphones,Microphones in 2020,7,https://www.youtube.com/watch?v=tva9Kl62-Ck
2162,Imperial Triumphant,Alphaville,8,https://youtu.be/dOLtyjU0oVg
2159,Taylor Swift,folklore,7,https://youtu.be/q-kaDVK_FT0
2158,Spirit Possession,Spirit Possession,7,https://youtu.be/AQzJxUAq7Is
2157,Logic,No Pressure,7,https://www.youtube.com/watch?v=-oZIQdDQfro
2156,Boldy James & Sterling Toles,Manger On McNichols,8,https://youtu.be/KD-UKHZaycQ
2155,Blu & Exile,Miles,9,https://youtu.be/1PYyjFW5opc
2154,Oliver Tree,Ugly is Beautiful,7,https://youtu.be/cKr7-euUE1E
2153,Lianne La Havas,Lianne La Havas,8,https://youtu.be/kgM9K3Jc4bA
2149,Juice WRLD,Legends Never Die,7,https://youtu.be/R_wr9G1FoQI
2148,100 gecs,1000 gecs and the Tree of Clues,7,https://www.youtube.com/watch?v=VroOqGuEhbA
2146,Boris,NO,8,https://www.youtube.com/watch?v=6HodlyNwmoU
2145,Arca,KiCk i,7,https://youtu.be/D-R_7gVb6lY
2143,Jessie Ware,What's Your Pleasure?,9,https://www.youtube.com/watch?v=JzXm3T1bF9E
2140,Klô Pelgag,Notre-Dame-des-Sept-Douleurs,7,https://youtu.be/JuXK6ggAtaI
2139,HAIM,Women in Music Pt. III,8,https://www.youtube.com/watch?v=iwTOEASFyfk
2134,The Koreatown Oddity,Little Dominiques Nosebleed,8,https://www.youtube.com/watch?v=SQl6PpyNZ14
2133,Baauer,Planet's Mad,7,https://www.youtube.com/watch?v=nqcrG0QCzwE
2132,Phoebe Bridgers,Punisher,8,https://www.youtube.com/watch?v=quifKaDZuU0
2131,Chloe x Halle,Ungodly Hour,8,https://www.youtube.com/watch?v=zCr5tYVgqbo
2130,Chromeo,Quarantine Casanova,7,https://youtu.be/7GhNlAroN20
2129,Armand Hammer,Shrines,7,https://www.youtube.com/watch?v=24EwvWeTdH4
2128,Run the Jewels,RTJ4,8,https://www.youtube.com/watch?v=gZ_FvwAqYSw
2126,Freddie Gibbs & The Alchemist,Alfredo,8,https://www.youtube.com/watch?v=sD93lPFOY6s
2124,Lady Gaga,Chromatica,7,https://www.youtube.com/watch?v=yfdRolzdLVE
2123,Deerhoof,Future Teenage Cave Artists,8,https://www.youtube.com/watch?v=xjNG90UjuII
2122,Backxwash,God Has Nothing To Do With This Leave Him Out Of It,8,https://www.youtube.com/watch?v=OBcYr05W8Cs
2119,Carly Rae Jepsen,Dedicated Side B,7,https://www.youtube.com/watch?v=mdGnwTmXmCs
2118,Jeff Rosenstock,NO DREAM,8,https://www.youtube.com/watch?v=nyy8_TisAlE
2117,Charli XCX,how i'm feeling now,8,https://www.youtube.com/watch?v=HRZcBNjlPQI
2114,Perfume Genius,Set My Heart on Fire Immediately,8,https://www.youtube.com/watch?v=0vFTfoOavRM
2113,Polo G,The GOAT,7,https://www.youtube.com/watch?v=s14hal4OKJg
2112,Moses Sumney,græ,7,https://www.youtube.com/watch?v=nwJ88RCBcfE
2111,Natalia Lafourcade,"Un Canto por México, Vol. 1",8,https://www.youtube.com/watch?v=wTbjkUPpbhA
2109,Dope Body,Home Body,8,https://www.youtube.com/watch?v=Uka2_LVDiv8
2107,KA,Descendants Of Cain,7,https://www.youtube.com/watch?v=VEm5LU1YfeA
2100,Quelle Chris & Chris Keys,Innocent Country 2,8,https://www.youtube.com/watch?v=o_dycSOZtm8
2099,Moor Mother & Mental Jewelry,True Opera,8,https://www.youtube.com/watch?v=QsOyGQljH_M
2098,Rina Sawayama,SAWAYAMA,8,https://www.youtube.com/watch?v=SyWmV_oD2us
2097,Fiona Apple,Fetch the Bolt Cutters,7,https://www.youtube.com/watch?v=XGTBxV-RLwI
2096,Oranssi Pazuzu,Mestarin kynsi,7,https://www.youtube.com/watch?v=9_49mZZwlBM
2095,Lido Pimienta,Miss Colombia,8,https://www.youtube.com/watch?v=x0GzWxPJQUs
2092,Black Dresses,Peaceful as Hell,9,https://www.youtube.com/watch?v=fAgo_BNUB_g
2091,Laura Marling,Song For Our Daughter,9,https://www.youtube.com/watch?v=ddy8WPKFDb4
2090,The Strokes,The New Abnormal,8,https://www.youtube.com/watch?v=TXWQ_pl76Y0
2088,Yves Tumor,Heaven To A Tortured Mind,7,https://www.youtube.com/watch?v=RlRvesjS9rE
2085,Nicolas Jaar,Cenizas,8,https://youtu.be/p_Db3vDJuWU
2084,Dua Lipa,Future Nostalgia,7,https://www.youtube.com/watch?v=tpyQzfYDh1Y
2079,The Weeknd,After Hours,7,https://youtu.be/GpyoyfxLmCU
2076,Code Orange,Underneath,8,https://www.youtube.com/watch?v=hh1y2FbdHvA
2074,Horse Lords,The Common Task,8,https://www.youtube.com/watch?v=NfGPMT6RNJU
2068,R.A.P. Ferreira,Purple Moonlight Pages,8,https://www.youtube.com/watch?v=kJb6Lz5frq4
2067,Bad Bunny,YHLQMDLG,7,https://www.youtube.com/watch?v=cVCZGlcW3lA
2066,Caribou,Suddenly,7,https://www.youtube.com/watch?v=7aA6NOJtjew
2064,Princess Nokia,Everything Sucks,7,https://www.youtube.com/watch?v=Ui0JUOZBPls
2062,Gupi,None,7,https://www.youtube.com/watch?v=jR3hyPi0Dbc
2058,King Krule,Man Alive!,8,https://youtu.be/cTUxGqQBPFM
2054,Against All Logic,2017 - 2019,8,https://www.youtube.com/watch?v=Sv78vDGcoFU
2053,Denzel Curry & Kenny Beats,UNLOCKED,8,https://www.youtube.com/watch?v=NcK1A9uPMQ8
2050,HMLTD,West of Eden,8,https://www.youtube.com/watch?v=1hy6OiHZWrQ
2048,Dan Deacon,Mystic Familiar,8,https://www.youtube.com/watch?v=kO_RRl27BFU
2045,Kesha,High Road,7,https://www.youtube.com/watch?v=e7p-ucdI5_I
2042,Mac Miller,Circles,8,https://www.youtube.com/watch?v=7ndtSyn6dVg
2039,Poppy,I Disagree,8,https://www.youtube.com/watch?v=t9vCCWuoF0k
2037,Stormzy,Heavy Is the Head,8,https://www.youtube.com/watch?v=S5JcFNvl3kE
2036,City Morgue,City Morgue Vol. 2: As Good As Dead,7,https://www.youtube.com/watch?v=nVu04X08uDI
2034,Roddy Ricch,Please Excuse Me for Being Antisocial,7,https://www.youtube.com/watch?v=ous6t-Mu-3Q
2032,JME,Grime MC,7,https://www.youtube.com/watch?v=z_4PLzU3RiE
2031,Griselda,WWCD,7,https://www.youtube.com/watch?v=xF2BvFkMieA
2030,ECCO2K,E,7,https://www.youtube.com/watch?v=zX1r4cczTT0
2023,Liturgy,H.A.Q.Q.,9,https://www.youtube.com/watch?v=NMsEzAg_E7o
2022,TNGHT,II,7,https://youtu.be/jeFLQSy2uFQ
2020,FKA twigs,MAGDALENE,7,https://www.youtube.com/watch?v=auy8wEk7Fww
2015,Michael Kiwanuka,Kiwanuka,7,https://www.youtube.com/watch?v=4pRxNcHyxKQ
2014,Gang Starr,One of the Best Yet,7,https://www.youtube.com/watch?v=UtL5_lw0xtI
2012,Sunn O))),Pyroclasts,8,https://www.youtube.com/watch?v=3mE4p3Ctlek
2010,Swans,Leaving Meaning.,7,https://www.youtube.com/watch?v=sOBY0PcjusQ
2008,Anamanaguchi,[USA],8,https://www.youtube.com/watch?v=Ue7WGgA_2_Q
2006,clipping.,There Existed an Addiction to Blood,8,https://www.youtube.com/watch?v=jtPlfmhPnNg
2005,Matana Roberts,COIN COIN Chapter Four: Memphis,9,https://www.youtube.com/watch?v=1J3s6wbc-S4
2004,Caroline Polachek,Pang,8,https://www.youtube.com/watch?v=ieXeM1YpqDg
2003,Lim Kim,Generasian,7,https://www.youtube.com/watch?v=CafRD-uvYXs
2002,Richard Dawson,2020,9,https://www.youtube.com/watch?v=fpATa8UJPh8
2001,Lightning Bolt,Sonic Citadel,8,https://www.youtube.com/watch?v=sZzwK3n_KEI
2000,Big Thief,Two Hands,7,https://www.youtube.com/watch?v=FhuRfJsjs-A
1999,Yazz Ahmed,Polyhymnia,8,https://www.youtube.com/watch?v=P-A-j2rlsvo
1997,Nick Cave & The Bad Seeds,Ghosteen,7,https://www.youtube.com/watch?v=9mhJ74tBV0E
1996,Danny Brown,uknowhatimsayin¿,8,https://www.youtube.com/watch?v=V2ZTJ8oD4TQ
1991,Brittany Howard,Jaime,7,https://www.youtube.com/watch?v=avfDv8uY3Ys
1989,"BABii, Kai Whiston, Iglooghost",XYZ,7,https://www.youtube.com/watch?v=XVVtKcvQ5vM
1987,Ana Frango Elétrico,Little Electric Chicken Heart,8,https://www.youtube.com/watch?v=Ufd4o67Ze6w
1986,Hobo Johnson,The Fall of Hobo Johnson,8,https://www.youtube.com/watch?v=Nm1tOpo5Pwo
1984,Alex Cameron,Miami Memory,8,https://www.youtube.com/watch?v=cRO0BuhzDsw
1983,Charli XCX,Charli,9,https://www.youtube.com/watch?v=nA-_v2cJges
1981,JPEGMAFIA,All My Heroes Are Cornballs,8,https://www.youtube.com/watch?v=ZGmQ9_ceFoY
1978,The Highwomen,The Highwomen,8,https://www.youtube.com/watch?v=1Cwqhd2me2U
1975,Lana Del Rey,Norman Fucking Rockwell!,8,https://www.youtube.com/watch?v=9fewwAkSrCw
1973,BROCKHAMPTON,GINGER,8,https://www.youtube.com/watch?v=B7oeiUvMqXA
1971,Rapsody,Eve,7,https://www.youtube.com/watch?v=L_xu6Koreqs
1969,Tropical Fuck Storm,Braindrops,8,https://www.youtube.com/watch?v=hItRO3zBdcw
1968,King Gizzard and the Lizard Wizard,Infest the Rats' Nest,8,https://www.youtube.com/watch?v=Puf8WJjnS4I
1966,Blanck Mass,Animated Violence Mild,7,https://youtu.be/CDzYqHFilZU
1964,Young Thug,So Much Fun,7,https://www.youtube.com/watch?v=l8jKCfUx-Oc
1961,Oliver Tree,Do You Feel Me?,7,https://www.youtube.com/watch?v=65E7N6xPZ7I
1956,Swain,Negative Space,7,https://www.youtube.com/watch?v=uo6oJFhvW3s
1955,Cordae,The Lost Boy,7,https://www.youtube.com/watch?v=yWHHr0EFWWw
1953,Lingua Ignota,Caligula,9,https://www.youtube.com/watch?v=QOwE58DvVQ8
1952,Dorian Electra,Flamboyant,8,https://www.youtube.com/watch?v=xg9JtJJ11nc
1950,Purple Mountains,Purple Mountains,8,https://www.youtube.com/watch?v=Vw-Hh4kg9q4
1946,Poppy,CHOKE,7,https://youtu.be/h1KpujmB5Q4
1943,Freddie Gibbs & Madlib,Bandana,8,https://www.youtube.com/watch?v=zN-S-2NIYLU
1942,Thom Yorke,ANIMA,7,https://www.youtube.com/watch?v=jV-Ziiole98
1941,black midi,schlagenheim,8,https://www.youtube.com/watch?v=vqmCLg0zoyo
1939,Kirin J Callinan,Return to Center,8,https://www.youtube.com/watch?v=EbkAfmNLmwM
1935,Daphni,Sizzling,8,https://www.youtube.com/watch?v=KCSpWqfn6Qk
1933,Bill Callahan,Shepherd in a Sheepskin Vest,7,https://www.youtube.com/watch?v=_qziLUViJtU
1932,Prince,Originals,8,https://www.youtube.com/watch?v=HOK54fBv90E
1930,Denzel Curry,ZUU,8,https://www.youtube.com/watch?v=SAnc49e-G08
1929,100 gecs,1000 gecs,7,https://www.youtube.com/watch?v=IhxPVSz5IFY
1925,Glass Beach,the first glass beach album,7,https://www.youtube.com/watch?v=GLyTw0trKM0
1924,Injury Reserve,Injury Reserve,7,https://www.youtube.com/watch?v=vpnfhLVkpLQ
1923,"Tyler, the Creator",IGOR,9,https://www.youtube.com/watch?v=u37lG0BMFZk
1922,Carly Rae Jepsen,Dedicated,7,https://www.youtube.com/watch?v=X4UJL1V01xk
1921,Megan Thee Stallion,Fever,7,https://www.youtube.com/watch?v=AzbBTaF45cg
1919,slowthai,Nothing Great About Britain,8,https://www.youtube.com/watch?v=Be70pP6C4ow
1910,Weatherday,Come In,7,https://www.youtube.com/watch?v=Jo2mZw2vNSg
1909,King Gizzard and the Lizard Wizard,Fishing for Fishies,7,https://www.youtube.com/watch?v=_wutLZaSZU0
1907,Otoboke Beaver,Itekoma Hits,9,https://www.youtube.com/watch?v=4kggrlYjGo8
1906,Sunn O))),Life Metal,7,https://www.youtube.com/watch?v=AaEQeb1pOuE
1901,Lizzo,Cuz I Love You,8,https://www.youtube.com/watch?v=sli3C0KTDh8
1900,Your Old Droog,It Wasn't Even Close,7,https://www.youtube.com/watch?v=-deQEteXUK4
1898,Slauson Malone,"A Quiet Farwell, 2016-2018",8,https://www.youtube.com/watch?v=Rccn_Hobk6s
1896,Beyoncé,HOMECOMING: THE LIVE ALBUM,8,https://www.youtube.com/watch?v=FGILPXMZHXw
1893,Anderson .Paak,Ventura,7,https://www.youtube.com/watch?v=Ijny2633SIE
1890,PUP,Morbid Stuff,8,https://www.youtube.com/watch?v=3qjNDxkAv4w
1889,Weyes Blood,Titanic Rising,9,https://www.youtube.com/watch?v=ANqN835Gmro
1888,Billy Woods & Kenny Segal,Hiding Places,8,https://www.youtube.com/watch?v=_EbckCohk7s
1887,Quelle Chris,Guns,8,https://www.youtube.com/watch?v=zJ5A5CdlnTo
1886,Show Me The Body,Dog Whistle,7,https://www.youtube.com/watch?v=FjMD4H96TN4
1885,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,https://www.youtube.com/watch?v=L9fWqfDby9U
1884,Ibibio Sound Machine,Doko Mien,7,https://www.youtube.com/watch?v=WRH2Cn3ktY8
1882,American Football,American Football,7,https://www.youtube.com/watch?v=0NfVnIqy8-I
